pincode,area,district,state,lat,lon
302049,NDC Jaipur GPO,Jaipur,Rajasthan,26.91779,75.80344
303001,Dangaarwara BO,Jaipur,Rajasthan,28.36202,77.83412
303002,Labana BO,Jaipur,Rajasthan,27.25181,76.11419
303003,Bhamod BO,Jaipur,Rajasthan,27.43281,76.23706
303004,Lawain SO,Dausa,Rajasthan,27.17333,76.16401
303005,Mandi BO,Jaipur,Rajasthan,25.76338,75.69399
303006,Bichi BO,Jaipur,Rajasthan,26.8307,75.28979
303007,Ajairajpura BO,Jaipur,Rajasthan,26.46195,75.60399
303008,Nanan BO,Jaipur,Rajasthan,26.79289,74.93096
303009,Dhamana BO,Jaipur,Rajasthan,26.58643,74.5972
303012,Faliawas BO,Jaipur,Rajasthan,25.45494,76.72303
303102,Beelwadi BO,Jaipur,Rajasthan,26.41097,75.61594
303103,Shahpura HO,Jaipur,Rajasthan,26.91103,76.72605
303104,Chandwaji BO,Jaipur,Rajasthan,26.91925,75.71964
303105,Banethi BO,Jaipur,Rajasthan,27.2329,76.11284
303106,Fatehpura Khurd BO,Jaipur,Rajasthan,27.58608,76.07403
303107,Bhuri Baraja BO,Jaipur,Rajasthan,27.60681,76.0885
303108,Gonera BO,Jaipur,Rajasthan,27.11724,75.71955
303109,Mahangi BO,Jaipur,Rajasthan,26.52372,76.46514
303110,Bhalloji BO,Jaipur,Rajasthan,27.17315,76.15101
303119,Antela BO,Jaipur,Rajasthan,27.40679,76.05908
303120,Dantala Meena BO,Jaipur,Rajasthan,26.84492,76.06591
303121,NIMS University SO,Jaipur,Rajasthan,26.91925,75.71964
303122,Vedaant Gyan Valley SO,Jaipur,Rajasthan,26.91925,75.71964
303123,Karansar SO,Jaipur,Rajasthan,26.73259,76.15229
303124,Murlipura B.O,Jaipur,Rajasthan,28.24228,75.67
303301,Mohanpura BO,Jaipur,Rajasthan,26.57449,76.12737
303302,Anantpura BO,Dausa,Rajasthan,26.25508,75.44494
303303,Dausa HO,Dausa,Rajasthan,27.14563,76.81629
303304,Bane Ka Barkhera BO,Dausa,Rajasthan,25.01629,75.51834
303305,Badwa BO,Jaipur,Rajasthan,23.68604,74.66531
303313,Ananantwada BO,Dausa,Rajasthan,27.06621,76.39446
303315,Aliapara BO,Dausa,Rajasthan,27.1455,76.51039
303323,Gudha Katla SO,Dausa,Rajasthan,18.78848,76.35194
303325,Badoli BO,Dausa,Rajasthan,25.62778,75.52612
303326,Bhandari BO,Dausa,Rajasthan,26.43081,75.70567
303327,Keshrisinghpura B.O,Dausa,Rajasthan,26.9877,76.4572
303328,Manda Bhim Singh BO,Jaipur,Rajasthan,25.66796,76.39773
303329,A C Jobner SO,Jaipur,Rajasthan,26.97197,75.38072
303338,Akoda BO,Jaipur,Rajasthan,26.83867,75.53815
303348,Gidhani BO,Jaipur,Rajasthan,26.66444,75.09873
303501,Behrawanda BO,Dausa,Rajasthan,26.8068,76.28957
303502,Geejgarh SO,Dausa,Rajasthan,25.71978,77.47204
303503,Daulatpura BO,Dausa,Rajasthan,25.41968,77.19811
303504,Binori BO,Dausa,Rajasthan,27.29565,76.13583
303505,Dob BO,Dausa,Rajasthan,26.753,79.30481
303506,Mundghisya BO,Dausa,Rajasthan,26.80844,76.1238
303507,Bishanpura BO,Dausa,Rajasthan,26.77212,76.14287
303508,Sikrai SO,Dausa,Rajasthan,26.31471,75.63178
303509,Chandera BO,Dausa,Rajasthan,24.85224,78.27987
303510,Ramgarh Pachwara SO,Dausa,Rajasthan,26.88463,76.12299
303511,Indawa BO,Dausa,Rajasthan,26.72279,76.17559
303601,Radawas BO,Jaipur,Rajasthan,27.46471,76.17339
303602,Luniawas BO,Jaipur,Rajasthan,26.15198,75.13837
303603,Bagawas BO,Jaipur,Rajasthan,26.341,75.69239
303604,Sambhar Lake HO,Jaipur,Rajasthan,26.20504,75.09822
303701,Punana BO,Jaipur,Rajasthan,27.0756,75.9151
303702,Tankarda BO,Jaipur,Rajasthan,26.82933,75.99184
303704,Anantpura BO,Jaipur,Rajasthan,27.29255,75.90099
303706,Kalwad SO,Jaipur,Rajasthan,26.26063,77.07531
303712,Anantpura BO,Jaipur,Rajasthan,26.88765,75.95407
303801,Pratapura BO,Jaipur,Rajasthan,27.53189,75.55357
303803,Khejroli SO,Jaipur,Rajasthan,27.22432,75.81362
303804,Dhanota BO,Jaipur,Rajasthan,26.19894,75.56353
303805,Morija SO,Jaipur,Rajasthan,27.15208,75.80853
303806,Gulab Bari BO,Jaipur,Rajasthan,27.21789,75.81263
303807,Hathnoda BO,Jaipur,Rajasthan,26.65711,74.7222
303901,Akodiya BO,Jaipur,Rajasthan,26.69001,75.85934
303903,Khajalpura BO,Jaipur,Rajasthan,26.47956,75.62138
303904,Heerapura BO,Jaipur,Rajasthan,27.33006,76.24749
303905,Mohanpura BO,Jaipur,Rajasthan,26.75539,75.80223
303908,Kotkhawada SO,Jaipur,Rajasthan,27.0143,76.39646
304001,Tonk Raj H.O,Tonk,Rajasthan,25.54378,75.87197
304021,Chainpuria B.O,Tonk,Rajasthan,26.51989,76.02966
304022,Palai B.O,Tonk,Rajasthan,26.36988,75.33094
304023,Choru B.O,Tonk,Rajasthan,26.14957,76.44088
304024,Bosariya B.O,Tonk,Rajasthan,25.87448,75.29474
304025,Bahad B.O,Tonk,Rajasthan,26.25425,75.69091
304026,Gurai B.O,Tonk,Rajasthan,25.98535,75.8966
304501,Avikanagar S.O,Tonk,Rajasthan,26.29262,75.4662
304502,Awara B.O,Tonk,Rajasthan,26.43655,75.19374
304503,Antoli B.O,Tonk,Rajasthan,26.51072,75.28885
304504,Bheepur B.O,Tonk,Rajasthan,26.56786,75.34356
304505,Baori B.O,Tonk,Rajasthan,25.92483,75.23045
304507,Thanwala B.O,Tonk,Rajasthan,26.47468,75.46846
304801,Sandera B.O,Tonk,Rajasthan,26.8958,75.60066
304802,Banthali B.O,Tonk,Rajasthan,26.01698,75.54819
304803,Chandli B.O,Tonk,Rajasthan,25.89716,75.57549
304804,Botunda B.O,Tonk,Rajasthan,26.04572,75.32425
305001,Ajmer H.O,Ajmer,Rajasthan,26.44787,74.63911
305002,Ie Makhu Pura Ajmer S.O,Ajmer,Rajasthan,26.32732,74.66245
305003,Dorai B.O,Ajmer,Rajasthan,26.35386,74.70826
305004,Regional College Ajmer S.O,Ajmer,Rajasthan,26.50527,74.60036
305005,Ajaiser B.O,Ajmer,Rajasthan,26.43809,74.5692
305006,NODAL DELIVERY CENTRE,Ajmer,Rajasthan,26.4641,74.6087
305007,Gc Road Ajmer S.O,Ajmer,Rajasthan,26.45159,74.40528
305009,Mds University Ajmer S.O,Ajmer,Rajasthan,26.50886,74.67556
305012,Mss Hatundi S.O,Ajmer,Rajasthan,26.36119,74.64697
305021,Kanwalai B.O,Ajmer,Rajasthan,26.61294,74.63419
305022,Bhagwan Pura B.O,Ajmer,Rajasthan,26.46024,74.62953
305023,Googhra B.O,Ajmer,Rajasthan,25.59423,74.67288
305024,Nareli B.O,Ajmer,Rajasthan,25.56244,80.70994
305025,Kana Kheri B.O,Ajmer,Rajasthan,26.05313,76.25788
305026,Netiyas B.O,Nagaur,Rajasthan,26.55744,74.46669
305201,Govind Garh S.O,Ajmer,Rajasthan,26.27618,74.34981
305202,Rudlai B.O,Ajmer,Rajasthan,26.20198,74.43742
305203,Mangliawas S.O,Ajmer,Rajasthan,26.25676,74.55082
305204,Budhwara B.O,Ajmer,Rajasthan,26.33665,74.38274
305205,Raj Garh (Ajmer) S.O,Ajmer,Rajasthan,25.85767,78.25173
305206,Bhaonta B.O,Ajmer,Rajasthan,26.35699,74.54508
305207,Alipura B.O,Ajmer,Rajasthan,26.31241,74.44358
305401,Bhwani Khera S.O,Ajmer,Rajasthan,26.34227,74.6923
305402,Bahera,Mulugu,Telangana,26.30845,74.8181
305403,Jadana B.O,Ajmer,Rajasthan,26.06027,75.01018
305404,Sanpla B.O,Ajmer,Rajasthan,25.96455,75.15649
305405,Bhimrawas B.O,Ajmer,Rajasthan,25.9482,75.01086
305406,Lasadia B.O,Ajmer,Rajasthan,26.08841,75.17239
305407,Ghatiyali B.O,Ajmer,Rajasthan,25.81239,75.20906
305408,Bogla B.O,Ajmer,Rajasthan,25.75353,74.56115
305412,Barol B.O,Ajmer,Rajasthan,26.24029,74.71266
305415,Karonj B.O,Ajmer,Rajasthan,26.03344,75.29192
305601,Nasirabad H.O,Ajmer,Rajasthan,26.28269,74.70594
305621,Chhachhundra B.O,Ajmer,Rajasthan,26.07811,74.74127
305622,Khayda B.O,Ajmer,Rajasthan,26.04444,74.77427
305623,Harrajpura B.O,Ajmer,Rajasthan,26.08761,74.44462
305624,Ratakot B.O,Ajmer,Rajasthan,26.1187,74.72183
305625,Jalia  II S.O,Ajmer,Rajasthan,25.93554,74.90695
305627,Jotayan B.O,Ajmer,Rajasthan,26.26789,74.74761
305628,Surkhand B.O,Ajmer,Rajasthan,26.04849,74.79417
305629,Gudha Khurd B.O,Ajmer,Rajasthan,25.49896,79.17726
305630,Begliawas B.O,Ajmer,Rajasthan,26.09184,74.60764
305631,Jeewana B.O,Ajmer,Rajasthan,26.0725,74.391
305801,Madanganj Kishangarh H.O,Ajmer,Rajasthan,26.56578,74.98943
305802,Udaipur Kalan B.O,Ajmer,Rajasthan,26.44889,74.84047
305811,Babaicha B.O,Ajmer,Rajasthan,26.61132,74.66738
305812,Chhota Naraina B.O,Ajmer,Rajasthan,26.69418,74.95584
305813,Dang B.O,Ajmer,Rajasthan,26.52273,75.08308
305814,Nawa B.O,Ajmer,Rajasthan,26.80987,74.95863
305815,Pinglod B.O,Ajmer,Rajasthan,26.70044,74.81415
305816,Patan B.O,Ajmer,Rajasthan,26.16016,75.28872
305817,Central University of Rajasthan S.O,Ajmer,Rajasthan,26.63213,74.87145
305819,Karkeri S.O,Ajmer,Rajasthan,26.19816,74.53162
305901,Beawar (Raj) H.O,Ajmer,Rajasthan,26.15326,74.21861
305921,Dansaria B.O,Rajsamand,Rajasthan,25.7608,74.09686
305922,Bar Kochara B.O,Ajmer,Rajasthan,25.92489,74.21081
305923,Rawatmal B.O,Ajmer,Rajasthan,25.90717,74.24381
305924,Todgarh S.O,Ajmer,Rajasthan,25.90655,74.13202
305925,Kalinjer B.O,Ajmer,Rajasthan,25.99705,74.2895
305926,Bamanheda B.O,Ajmer,Rajasthan,25.8108,74.14027
305927,Durgawas B.O,Ajmer,Rajasthan,26.04138,74.17679
306001,Marwar Jn. H.O,Pali,Rajasthan,25.70609,73.56182
306021,Deoli Auwa B.O,Pali,Rajasthan,25.63368,73.9287
306022,Bhagora B.O,Pali,Rajasthan,25.49888,73.72634
306023,Chokariya B.O,Pali,Rajasthan,25.68127,73.77145
306101,Kurki B.O,Pali,Rajasthan,26.13392,73.95124
306102,Amarpura B.O,Pali,Rajasthan,26.05241,74.07654
306103,Bornadi B.O,Pali,Rajasthan,25.89089,73.72966
306104,Chopra B.O,Pali,Rajasthan,25.90406,73.59785
306105,Bagri Kalaliya B.O,Pali,Rajasthan,26.06456,74.07673
306114,Piplad B.O,Pali,Rajasthan,25.70551,73.74488
306115,Lapod B.O,Pali,Rajasthan,25.34928,73.4403
306116,Falna Village B.O,Pali,Rajasthan,25.23356,73.25991
306119,Jawali B.O,Pali,Rajasthan,25.47599,73.40657
306126,Bera B.O,Pali,Rajasthan,25.45183,73.23675
306301,Falka   Kalan B.O,Pali,Rajasthan,26.32321,73.96377
306302,Deoria B.O,Pali,Rajasthan,26.22171,73.9639
306303,Mohrai B.O,Pali,Rajasthan,26.18986,73.95261
306304,Haripur B.O,Pali,Rajasthan,26.03602,74.02656
306305,Nimbera  Kalan B.O,Pali,Rajasthan,26.10813,73.96338
306306,Chanddawal R.S. B.O,Pali,Rajasthan,25.93518,73.94982
306307,Bansiya B.O,Pali,Rajasthan,26.017,73.95283
306308,Digarna B.O,Pali,Rajasthan,26.27823,73.93322
306401,Pali Marwar H.O,Pali,Rajasthan,25.72809,73.2618
306421,Bayad B.O,Pali,Rajasthan,25.89386,73.14357
306422,Dhola B.O,Pali,Rajasthan,25.61579,73.29096
306501,Dhamli B.O,Pali,Rajasthan,25.8099,73.58603
306502,Bagol B.O,Pali,Rajasthan,25.31141,73.37736
306503,Banta Town B.O,Pali,Rajasthan,25.47988,73.48504
306504,Bheemana B.O,Pali,Rajasthan,24.85932,73.16296
306601,Dadai B.O,Pali,Rajasthan,25.32469,73.42238
306602,Bhawnagar,Pali,Rajasthan,25.48858,73.11454
306603,Dhalop B.O,Pali,Rajasthan,25.29712,73.52927
306604,Sanwalta B.O,Pali,Rajasthan,25.43368,73.49236
306701,Dantiwara B.O,Pali,Rajasthan,25.18536,73.29114
306702,Ranakpur B.O,Pali,Rajasthan,25.26121,73.58936
306703,Ana B.O,Pali,Rajasthan,25.29087,73.55642
306704,Ghanerao S.O,Pali,Rajasthan,25.21379,73.41445
306705,Mundara S.O,Pali,Rajasthan,25.20966,73.34063
306706,Barwa B.O,Pali,Rajasthan,25.12377,73.32008
306707,Padarla B.O,Pali,Rajasthan,25.16185,73.28686
306708,Koselao B.O,Pali,Rajasthan,25.25896,73.1233
306709,Rabriyawas B.O,Pali,Rajasthan,24.90734,73.99961
306901,Khiwandi B.O,Pali,Rajasthan,25.3646,73.16019
306902,Kanpura B.O,Pali,Rajasthan,25.20205,73.09335
306912,Balana B.O,Pali,Rajasthan,25.21364,73.06148
307001,Sirohi H.O,Sirohi,Rajasthan,24.85871,72.79538
307019,Jkpuram S.O,Sirohi,Rajasthan,24.70678,73.01874
307022,Telpur B.O,Sirohi,Rajasthan,24.77989,73.01027
307023,Ishra B.O,Sirohi,Rajasthan,24.68113,72.89796
307024,Valoriya B.O,Sirohi,Rajasthan,24.55737,72.96218
307025,Barli B.O,Udaipur,Rajasthan,24.38893,73.1858
307026,Chandela B.O,Sirohi,Rajasthan,24.47948,72.72281
307027,Sheoganj S.O (Sirohi),Sirohi,Rajasthan,25.07665,73.01935
307028,Jogapura B.O,Sirohi,Rajasthan,25.10331,72.96943
307029,Badanwari B.O,Jalore,Rajasthan,25.99451,74.87553
307030,Agawari B.O,Jalore,Rajasthan,25.38494,72.93941
307031,Amli B.O,Sirohi,Rajasthan,24.82268,72.98776
307032,Jayadara B.O,Sirohi,Rajasthan,24.56769,72.78068
307043,Morli B.O,Sirohi,Rajasthan,25.00304,72.9103
307501,Shergaon,Sirohi,Rajasthan,24.61987,72.7418
307510,Amthala B.O,Sirohi,Rajasthan,24.54493,72.7955
307511,Dak B.O,Sirohi,Rajasthan,24.67729,72.65415
307512,Dantrai S.O,Sirohi,Rajasthan,24.74421,72.53091
307513,Raipur B.O,Sirohi,Rajasthan,24.65588,72.42212
307514,Bhatana B.O,Sirohi,Rajasthan,24.59123,72.50528
307515,Rajikawas B.O,Jalore,Rajasthan,24.84101,72.422
307801,Deldar B.O.,Sirohi,Rajasthan,25.01781,72.77918
307802,Jela B.O,Sirohi,Rajasthan,24.88847,72.60021
307803,Punakkalan B.O,Jalore,Rajasthan,24.964,72.78351
311001,Bhilwara H.O,Bhilwara,Rajasthan,25.23453,74.63338
311011,Lasadiya B.O,Bhilwara,Rajasthan,25.36059,74.73657
311021,Gageda B.O,Bhilwara,Rajasthan,25.872,74.60367
311022,Hurda S.O,Bhilwara,Rajasthan,25.86251,74.7072
311023,Dhanop B.O,Bhilwara,Rajasthan,25.84678,74.81678
311024,Dholi B.O,Bhilwara,Rajasthan,25.64912,74.56058
311025,Amli B.O,Bhilwara,Rajasthan,25.21391,74.70649
311026,Bheemdiyas B.O,Bhilwara,Rajasthan,25.57519,74.46274
311030,Barantia B.O,Bhilwara,Rajasthan,25.71686,74.73233
311201,Amarwasi B.O,Bhilwara,Rajasthan,25.63774,75.19087
311202,Bavri B.O,Bhilwara,Rajasthan,25.54967,75.06153
311203,Ullela B.O,Bhilwara,Rajasthan,25.46709,75.09535
311204,Barsani B.O,Bhilwara,Rajasthan,25.83056,74.44845
311301,Barana B.O,Bhilwara,Rajasthan,25.68371,74.30385
311302,Bhadsi B.O,Bhilwara,Rajasthan,25.77474,74.39671
311401,Bara Mahuwa B.O,Bhilwara,Rajasthan,25.50195,74.70356
311402,Adsipura B.O,Bhilwara,Rajasthan,25.34649,74.45372
311403,Bhadu B.O,Bhilwara,Rajasthan,25.44613,74.47871
311404,Amli Kalan B.O,Bhilwara,Rajasthan,25.6055,74.90848
311407,Kanechan Khurd B.O,Bhilwara,Rajasthan,25.73825,74.91572
311408,Munshi B.O,Bhilwara,Rajasthan,25.5963,74.75701
311601,Dhakarkhedi B.O,Bhilwara,Rajasthan,25.2668,74.99482
311602,Chand Ji Ki Kheri B.O,Bhilwara,Rajasthan,25.19093,75.16563
311603,Akola B.O,Bhilwara,Rajasthan,25.39994,74.92097
311604,Genoli B.O,Bhilwara,Rajasthan,25.27941,75.04198
311605,Dhamnia B.O,Bhilwara,Rajasthan,25.40371,75.09764
311606,Bikaran B.O,Bhilwara,Rajasthan,25.34206,75.3053
311801,Bharak B.O,Bhilwara,Rajasthan,25.26617,74.36877
311802,Atun B.O,Bhilwara,Rajasthan,25.27642,74.48448
311803,Umari B.O,Bhilwara,Rajasthan,25.41257,74.17339
311804,Dhuwala B.O,Bhilwara,Rajasthan,25.54606,74.26767
311805,Deoria B.O,Bhilwara,Rajasthan,25.31358,74.16621
311806,Kangani B.O,Bhilwara,Rajasthan,25.14728,74.21927
312001,Chittorgarh H.O,Chittorgarh,Rajasthan,24.88617,74.62624
312021,Barodia B.O,Chittorgarh,Rajasthan,24.91204,74.71803
312022,Kherpura B.O,Chittorgarh,Rajasthan,24.89567,74.74659
312023,Deopura B.O,Chittorgarh,Rajasthan,24.94179,75.04552
312024,Morwan B.O,Chittorgarh,Rajasthan,24.67544,74.53063
312025,Netawal garh pachhali B.O,Chittorgarh,Rajasthan,24.8591,74.61307
312027,Akola Kalan B.O,Chittorgarh,Rajasthan,24.72916,74.44799
312201,Odund B.O,Chittorgarh,Rajasthan,24.52439,74.33998
312202,Babarana B.O,Chittorgarh,Rajasthan,24.87017,74.35897
312203,Adana B.O,Chittorgarh,Rajasthan,25.04714,74.37935
312204,Bhoopal  Nagar B.O,Chittorgarh,Rajasthan,24.71628,74.22397
312205,Chorwadi B.O,Chittorgarh,Rajasthan,24.64346,74.30646
312206,Nevaria B.O,Chittorgarh,Rajasthan,25.06286,74.42763
312207,Banakiyakalan B.O,Chittorgarh,Rajasthan,24.92577,74.47947
312401,Mahuda B.O,Chittorgarh,Rajasthan,24.47301,74.45869
312402,Badwai B.O,Chittorgarh,Rajasthan,24.12546,74.51463
312403,Manpura Jagir B.O,Chittorgarh,Rajasthan,24.45943,74.52605
312404,Karsana B.O,Chittorgarh,Rajasthan,24.48479,74.4281
312601,Badolighata B.O,Chittorgarh,Rajasthan,24.60888,74.68729
312602,Bhalundi B.O,Chittorgarh,Rajasthan,24.6778,74.50187
312603,Bhanuja B.O,Chittorgarh,Rajasthan,24.57688,74.40816
312604,Peelikheda B.O,Pratapgarh,Rajasthan,24.37453,74.71645
312605,Achalpur B.O,Pratapgarh,Rajasthan,24.2341,74.79028
312606,Sarsi B.O,Chittorgarh,Rajasthan,24.69928,74.90496
312612,Jalampura B.O,Chittorgarh,Rajasthan,24.83327,74.56198
312613,Kannoj B.O,Chittorgarh,Rajasthan,24.80958,74.65992
312614,Mandla Charan B.O,Chittorgarh,Rajasthan,24.52487,74.56981
312615,Achalawada B.O,Pratapgarh,Rajasthan,24.09785,74.75362
312616,Bori B.O,Pratapgarh,Rajasthan,24.1591,74.72694
312617,Kailash  Nagar S.O,Chittorgarh,Rajasthan,25.11317,72.81903
312619,Banslai B.O,Pratapgarh,Rajasthan,24.21544,74.94947
312620,Arnia Joshi B.O,Chittorgarh,Rajasthan,24.69053,74.70511
312622,Adityapuram S.O,Chittorgarh,Rajasthan,24.756,74.60628
312623,Sakriya B.O,Pratapgarh,Rajasthan,24.42779,74.69379
312624,Banghati,Pratapgarh,Rajasthan,23.77215,74.62499
312625,Dantalia B.O,Pratapgarh,Rajasthan,24.07071,74.37874
312626,Bharkundi B.O,Pratapgarh,Rajasthan,23.97412,74.36559
312627,Sadas S.O,Chittorgarh,Rajasthan,25.11659,74.5915
312628,Nakor B.O,Pratapgarh,Rajasthan,24.03899,74.65855
312629,SUHAGPURA DSO,Chittorgarh,Rajasthan,23.91867,74.70879
312901,Bolon Ka Sanwata B.O,Chittorgarh,Rajasthan,25.00889,74.69785
313001,Dhinkli B.O,Udaipur,Rajasthan,24.57153,73.70968
313002,Udaipur H Magri S.O,Udaipur,Rajasthan,24.56725,73.72628
313003,Bhoiyon Ki Pancholi B.O,Udaipur,Rajasthan,24.52471,73.89023
313004,Udaipur H.O,Udaipur,Rajasthan,24.59153,73.69186
313011,Barda B.O,Udaipur,Rajasthan,24.19083,73.64477
313022,Daroli B.O,Udaipur,Rajasthan,24.61755,73.89994
313024,Zinc Smelter S.O,Udaipur,Rajasthan,24.60134,73.82089
313026,Godasar B.O,Udaipur,Rajasthan,24.02561,73.88957
313027,Isarwas Dangiyan B.O,Udaipur,Rajasthan,24.16653,74.03492
313031,Alsigarh B.O,Udaipur,Rajasthan,24.51221,73.61744
313038,Dholgiri Ka Khera B.O,Udaipur,Rajasthan,24.02483,74.12536
313201,Ghasa B.O,Udaipur,Rajasthan,24.72022,73.84981
313202,Bilota B.O,Rajsamand,Rajasthan,24.76998,73.74888
313203,Bhimal B.O,Udaipur,Rajasthan,24.7886,73.98613
313204,Jawad B.O,Udaipur,Rajasthan,24.81938,73.87299
313205,Intali B.O,Udaipur,Rajasthan,24.6105,74.01378
313206,Jewana B.O,Udaipur,Rajasthan,24.7125,73.97578
313207,Gilund S.O,Rajsamand,Rajasthan,25.02362,74.23056
313211,Charana B.O,Rajsamand,Rajasthan,24.80363,74.02835
313301,Bagol B.O,Rajsamand,Rajasthan,24.94144,73.81169
313321,Bhensa Kamed B.O,Rajsamand,Rajasthan,25.09317,73.67517
313322,Balicha B.O,Rajsamand,Rajasthan,24.85601,73.72344
313323,Maja B.O,Rajsamand,Rajasthan,24.97762,73.90782
313324,Kankroli H.O,Rajsamand,Rajasthan,25.02768,73.79263
313325,Kuncholi B.O,Rajsamand,Rajasthan,25.01806,73.56812
313327,Jhor B.O,Rajsamand,Rajasthan,25.09079,73.94538
313328,Kuraj S.O,Rajsamand,Rajasthan,25.03679,74.06792
313329,Banerian B.O,Rajsamand,Rajasthan,25.00557,74.06361
313330,Panotia B.O,Rajsamand,Rajasthan,25.24638,73.99946
313331,Anjana B.O,Rajsamand,Rajasthan,25.48491,73.94709
313332,Khakharmala B.O,Rajsamand,Rajasthan,25.47001,73.99072
313333,Rinchhed B.O,Rajsamand,Rajasthan,25.26501,73.7528
313334,Aidana B.O,Rajsamand,Rajasthan,25.17762,73.82819
313341,Kachhabali B.O,Rajsamand,Rajasthan,25.62775,73.94654
313342,Bhatoli B.O,Rajsamand,Rajasthan,25.02041,73.91938
313601,Balathal B.O,Udaipur,Rajasthan,24.61568,73.99444
313602,Kharsan B.O,Udaipur,Rajasthan,24.57962,74.04589
313603,Bansada B.O,Udaipur,Rajasthan,24.51687,74.14157
313604,Akola B.O,Udaipur,Rajasthan,24.35683,74.14828
313701,Daiya B.O,Udaipur,Rajasthan,24.27098,73.36466
313702,Godana B.O,Udaipur,Rajasthan,24.35664,73.48962
313703,Bemla B.O,Udaipur,Rajasthan,24.9966,73.92175
313704,B K Kalwana B.O,Udaipur,Rajasthan,24.94499,73.43004
313705,Bagdunda B.O,Udaipur,Rajasthan,24.71923,73.5181
313706,Ballabh B.O,Udaipur,Rajasthan,24.3789,74.07836
313708,Jhadoli B.O,Udaipur,Rajasthan,24.7718,73.39336
313801,Sarupal B.O,Udaipur,Rajasthan,24.28281,73.67336
313802,Bhudar B.O,Udaipur,Rajasthan,24.08578,73.68118
313803,Bayri B.O,Udaipur,Rajasthan,24.0236,73.55617
313804,Balicha B.O,Udaipur,Rajasthan,23.95732,73.47849
313805,Kunda B.O,Udaipur,Rajasthan,24.00333,73.76833
313806,Kalyanpur,Udaipur,Rajasthan,24.00301,73.75807
313901,Deopura B.O,Udaipur,Rajasthan,24.33602,73.751
313902,Kejad B.O,Udaipur,Rajasthan,24.1455,73.8673
313903,Medi Dhani B.O,Udaipur,Rajasthan,24.07854,73.85346
313904,Nathara B.O,Udaipur,Rajasthan,24.20351,73.81598
313905,Dhingri B.O,Udaipur,Rajasthan,24.23766,73.87552
313906,Gejvi B.O,Udaipur,Rajasthan,24.56472,73.40454
314001,Dungarpur H.O,Dungarpur,Rajasthan,23.85485,73.60313
314011,Gamdi Deval B.O,Dungarpur,Rajasthan,23.86866,73.62609
314021,Parda Itiwar B.O,Dungarpur,Rajasthan,23.95401,74.08718
314022,Biloora B.O,Dungarpur,Rajasthan,23.86764,74.14333
314023,Bhasore B.O,Dungarpur,Rajasthan,23.82873,73.99194
314024,Oad B.O,Dungarpur,Rajasthan,23.77664,73.96552
314025,Sagwara Bazar S.O,Dungarpur,Rajasthan,23.67797,74.01532
314026,Galiakot S.O,Dungarpur,Rajasthan,23.54231,74.00802
314027,Ambada B.O,Dungarpur,Rajasthan,23.62206,73.96005
314028,Mandav B.O,Dungarpur,Rajasthan,23.71022,73.91342
314029,Beejawara B.O,Dungarpur,Rajasthan,23.71575,73.92759
314030,Bawadi B.O,Dungarpur,Rajasthan,23.50101,73.91092
314031,Bageri B.O,Dungarpur,Rajasthan,23.63008,74.07251
314032,Padardi Badi B.O,Dungarpur,Rajasthan,23.75508,74.09376
314034,Bhojato Ka Oda B.O,Dungarpur,Rajasthan,23.91606,73.91514
314035,Bhamai B.O,Dungarpur,Rajasthan,23.5469,73.95934
314036,Dowda B.O,Dungarpur,Rajasthan,23.83712,73.84037
314037,Balota B.O,Dungarpur,Rajasthan,23.75622,73.81267
314038,Bhiyodi B.O,Dungarpur,Rajasthan,23.86439,74.07564
314401,Parda Mehton ka B.O,Dungarpur,Rajasthan,23.6874,73.84636
314402,Bansia B.O,Dungarpur,Rajasthan,23.64888,73.74596
314403,Badi Likhi B.O,Dungarpur,Rajasthan,23.55334,73.69155
314404,Ghata B.O,Dungarpur,Rajasthan,23.70147,73.69453
314406,Bankra B.O,Dungarpur,Rajasthan,23.50757,73.79002
314801,Chundawada B.O,Dungarpur,Rajasthan,23.79887,73.48462
314804,Sabli B.O,Dungarpur,Rajasthan,23.82733,73.60364
321001,Bharatpur H.O,Bharatpur,Rajasthan,26.98588,77.7336
321021,Phulwara B.O,Bharatpur,Rajasthan,27.2198,77.51302
321022,Anand Dadri B.O,Bharatpur,Rajasthan,27.5415,77.26972
321023,Badipur B.O,Bharatpur,Rajasthan,27.62903,79.19405
321024,Berru B.O,Bharatpur,Rajasthan,27.48051,77.18186
321025,Santruk B.O,Bharatpur,Rajasthan,27.25652,77.53392
321026,Dehra B.O,Bharatpur,Rajasthan,27.21961,77.38555
321028,Barkheda B.O,Bharatpur,Rajasthan,27.10479,77.26009
321201,Dhanwara B.O,Bharatpur,Rajasthan,27.40083,77.15427
321202,Tamrer B.O,Bharatpur,Rajasthan,27.37032,76.79598
321203,Deeg H.O,Bharatpur,Rajasthan,27.4586,77.32037
321204,Bodoli Dahar B.O,Bharatpur,Rajasthan,27.51841,80.19945
321205,Dundawal B.O,Bharatpur,Rajasthan,27.41632,77.08681
321206,Jatoli Thoon B.O,Bharatpur,Rajasthan,27.28911,77.0414
321301,Bareh Mafi B.O,Bharatpur,Rajasthan,27.08802,77.48718
321302,Nekpur B.O,Bharatpur,Rajasthan,27.16832,76.86252
321303,Uncha Gaom B.O,Bharatpur,Rajasthan,27.17211,77.07132
321401,Bidiyari BO,Bharatpur,Rajasthan,26.94131,77.29462
