pincode,area,district,state,lat,lon
110110,Nodal Delivery Centre(Parcel) Rohini,North West,Delhi,28.71575,77.11
110119,KALKAJI NDC,South East,Delhi,28.5428,77.25751
110124,LAJPAT NAGAR NDC,South,Delhi,28.56791,77.2414
110151,KRISHNA NAGAR NDC,Shahdara,Delhi,28.64573,77.29977
110195,JHILMIL NDC,Shahdara,Delhi,28.67396,77.3197
121001,Faridabad NIT HO,Faridabad,Haryana,28.33233,77.45534
121002,Faridabad City SO,Faridabad,Haryana,28.45596,77.32843
121003,Tilpat BO,Faridabad,Haryana,28.42584,77.31362
121004,Baroli BO,Faridabad,Haryana,27.97258,77.87234
121005,Faridabad Sector 22 SO,Faridabad,Haryana,28.38069,77.29439
121006,Faridabad Sector 9 SO,Faridabad,Haryana,28.37188,77.32084
121007,Faridabad Sector 15 SO,Faridabad,Haryana,28.38732,77.32236
121008,Faridabad Sector 29 SO,Faridabad,Haryana,28.39178,77.30214
121009,Surajkund Faridabad SO,Faridabad,Haryana,28.48811,77.29458
121010,Nhpc Colony Faridabad SO,Faridabad,Haryana,28.51062,77.63996
121012,Sector21D  SO,Faridabad,Haryana,28.39178,77.30214
121013,Sec91 SO,Faridabad,Haryana,28.39178,77.30214
121014,Greater Faridabad PO,Faridabad,Haryana,28.4726,77.4848
121015,Sector55 PO,Faridabad,Haryana,28.3453,77.2965
121101,Bhainsrawali BO,Faridabad,Haryana,27.12063,81.51446
121102,Aharwan BO,Palwal,Haryana,26.99022,77.48342
121103,Kondal BO,Palwal,Haryana,29.06779,78.47541
121105,Dighot BO,Palwal,Haryana,28.02213,77.11061
121106,Banchari BO,Palwal,Haryana,28.53654,76.89913
121107,Tappa Bilochpur BO,Palwal,Haryana,27.41237,76.83257
121999,NDC Faridabad,Na,Na,28.39178,77.30214
122001,Gurgaon HO,Gurugram,Haryana,28.45987,77.02498
122002,DLF QE SO,Gurugram,Haryana,28.46609,77.10583
122003,Gwal Pahari BO,Gurugram,Haryana,28.45038,77.06312
122004,Sikohpur BO,Gurugram,Haryana,28.4177,76.99646
122005,Air Force SO,Gurugram,Haryana,28.50561,77.07106
122006,Gurgaon Village BO,Gurugram,Haryana,28.47442,77.02846
122007,Industrial Estate SO Gurgaon,Gurugram,Haryana,28.462,77.03164
122008,DLF PhII SO,Gurugram,Haryana,28.462,77.03164
122009,Galleria DLFIV SO,Gurugram,Haryana,28.34089,76.75619
122010,DLF PhIII SO,Gurugram,Haryana,28.46609,77.10583
122011,Gurgaon Sector 56 SO,Gurugram,Haryana,28.462,77.03164
122012,Vatika India Sec 82 SO,Gurugram,Haryana,28.41389,76.99319
122015,Palam Road SO,Gurugram,Haryana,28.49736,77.06306
122016,Industrial Complex Dundahera SO,Gurugram,Haryana,28.49658,77.08528
122017,Palam Vihar SO Gurgaon,Gurugram,Haryana,28.462,77.03164
122018,D Block South City II Gurgaon,Gurugram,Haryana,28.462,77.03164
122051,Nsg Camp Manesar SO,Gurugram,Haryana,28.34312,76.94018
122052,IMT Manesar SO,Gurugram,Haryana,28.342,76.93647
122098,CRPF Kadarpur SO,Gurugram,Haryana,28.39138,77.05119
122101,Kadarpur BO,Gurugram,Haryana,28.39167,77.05194
122102,Raisina BO,Gurugram,Haryana,28.34712,77.06433
122103,Chapera BO,Nuh,Haryana,28.26111,77.06595
122104,Agon BO,Nuh,Haryana,27.77819,76.94519
122105,Baghanki BO,Nuh,Haryana,28.33089,76.78358
122107,Ferozepur Namak BO,Nuh,Haryana,28.10206,76.00447
122108,Mandikhera BO,Nuh,Haryana,27.9204,76.98447
122413,Moklawas BO,Gurugram,Haryana,29.38763,77.44643
122414,Inchhapuri BO,Gurugram,Haryana,28.27449,76.73141
122502,Jasat BO,Gurugram,Haryana,28.29143,76.69573
122503,Jamalpur BO,Gurugram,Haryana,28.32681,76.77723
122504,Noorgarh BO,Gurugram,Haryana,28.45053,77.04056
122505,Garhi Harsaru SO,Gurugram,Haryana,28.42441,76.91779
122506,Sultanpur BO,Gurugram,Haryana,28.45058,76.86346
122508,Pingwan BO,Nuh,Haryana,27.8635,77.20308
122998,NDC DLF QE Complex,Na,Na,28.46606,77.10565
122999,NDC GURGAON,Na,Na,28.49672,77.08547
123001,Narnaul HO,Mahendragarh,Haryana,28.0592,76.15094
123021,Bhocharia BO,Mahendragarh,Haryana,28.10088,76.25363
123023,Nangal Dargu BO,Mahendragarh,Haryana,27.89247,76.11056
123024,Barda BO,Mahendragarh,Haryana,28.37871,75.96475
123027,Nautana BO,Mahendragarh,Haryana,28.33619,76.30647
123028,Daroli Ahir BO,Mahendragarh,Haryana,28.14174,76.12737
123029,Khatod BO,Mahendragarh,Haryana,28.26003,76.14042
123031,Central University Haryana Mohindergarh SO,Mahendragarh,Haryana,28.27102,76.14939
123034,Jhagroli BO,Mahendragarh,Haryana,28.27141,76.22045
123035,Guraora BO,Rewari,Haryana,28.35617,76.62175
123101,Basbatori BO,Rewari,Haryana,28.209,76.88411
123102,Gothra BO,Rewari,Haryana,28.15019,76.39928
123103,Dhawana BO,Rewari,Haryana,28.17281,76.402
123106,Kharkhara BO,Rewari,Haryana,28.23067,76.80025
123110,Industrial Area Dharuhera SO,Rewari,Haryana,28.23356,77.80328
123301,Rattanthal BO,Rewari,Haryana,28.35719,76.5355
123302,Bhakli BO,Rewari,Haryana,28.40022,76.48392
123303,Lilodh BO,Rewari,Haryana,28.41206,76.398
123304,Lookhi BO,Rewari,Haryana,28.34522,76.3672
123401,Boria Kamalpur BO,Rewari,Haryana,28.12642,76.36692
123411,Baldhan Kalan BO,Rewari,Haryana,28.29386,76.38397
123412,Badhrana BO,Rewari,Haryana,28.20172,76.59558
123501,Baghthala BO,Rewari,Haryana,28.07339,76.58097
124001,Rohtak HO,Rohtak,Haryana,28.77043,76.60093
124010,Bhali Anandpur BO,Rohtak,Haryana,28.68475,76.61209
124021,Bhambhewa BO,Jhajjar,Haryana,28.5276,76.41057
124022,Basana BO,Rohtak,Haryana,28.74361,76.64128
124102,Madana Kalan BO,Jhajjar,Haryana,28.74185,76.88182
124103,Gurukul Jhajjar BO,Jhajjar,Haryana,28.65933,76.63843
124104,Jahangirpur BO,Jhajjar,Haryana,28.70429,76.65796
124105,Sondhi BO,Jhajjar,Haryana,28.59987,76.82058
124106,Jharli BO,Jhajjar,Haryana,28.69145,76.48005
124107,Dhandlan BO,Jhajjar,Haryana,28.69613,76.7859
124108,Khudan BO,Jhajjar,Haryana,28.7034,76.52912
124109,Bilochpura BO,Jhajjar,Haryana,28.50095,76.57095
124111,Girawar BO,Rohtak,Haryana,28.76585,76.49518
124112,Sisarkhas BO,Rohtak,Haryana,28.75208,76.49201
124113,Katesra BO,Rohtak,Haryana,28.65177,76.62716
124141,Power Plant Jharli SO,Jhajjar,Haryana,28.89558,76.59253
124142,Khanpur Khurd BO,Jhajjar,Haryana,28.53323,76.38596
124146,Bhurawas BO,Jhajjar,Haryana,28.64579,76.70238
124201,Baghpur BO,Jhajjar,Haryana,28.6952,76.55192
124202,Pilana BO,Rohtak,Haryana,28.67348,76.5971
124303,Ghillaur Kalan BO,Rohtak,Haryana,28.69834,76.52242
124401,Dhamar BO,Rohtak,Haryana,28.65444,76.59161
124404,Samchana BO,Rohtak,Haryana,28.65038,76.85021
124406,Morekheri BO,Rohtak,Haryana,28.71478,76.60879
124411,Patwapur BO,Rohtak,Haryana,28.53662,76.37491
124412,Kahnaur SO,Rohtak,Haryana,28.65923,76.58325
124501,Atail BO,Rohtak,Haryana,28.62259,76.72768
124504,Chudani BO,Jhajjar,Haryana,28.66937,76.8014
124505,Jakhauda BO,Jhajjar,Haryana,28.6967,76.87401
124506,Mandothi SO,Jhajjar,Haryana,28.70854,76.9027
124507,Bahadurgarh HO,Jhajjar,Haryana,28.67002,76.91123
124508,Lowa Kalan BO,Jhajjar,Haryana,28.64587,76.91546
124513,Nindana SO,Rohtak,Haryana,29.01003,76.37817
124514,Nandal BO,Rohtak,Haryana,28.71998,76.54477
124515,MET Dadri Toe S.O,Rohtak,Haryana,28.55027,77.55426
125001,Hisar HO,Hisar,Haryana,29.18652,75.72307
125004,Neoli Kalan BO,Hisar,Haryana,29.38,75.54444
125005,Mirzapur BO,Hisar,Haryana,28.80185,75.74609
125006,Hisar Cantt SO,Hisar,Haryana,29.11235,75.66088
125007,Gawar BO,Hisar,Haryana,29.14644,75.5635
125011,CSF Hisar BO,Hisar,Haryana,29.20707,75.68506
125033,Dhanderi BO,Hisar,Haryana,28.96447,76.27888
125037,Muzadpur BO,Hisar,Haryana,28.94486,75.82608
125038,Sulchani BO,Hisar,Haryana,29.18958,76.22458
125039,Haibatpur BO,Hisar,Haryana,29.22461,75.97208
125042,Kharbala BO,Hisar,Haryana,29.10869,75.2351
125044,Bhagana BO,Hisar,Haryana,29.12883,75.78447
125047,Gorakhpur BO,Fatehabad,Haryana,29.41658,75.62667
125048,Khara Kheri BO,Fatehabad,Haryana,29.41658,75.54867
125049,Datta BO,Hisar,Haryana,29.15944,75.57109
125050,Dhani Majra BO,Fatehabad,Haryana,29.51417,75.45389
125051,Badalgarh BO,Fatehabad,Haryana,29.67028,75.57613
