crop,facility_type
sugarcane,sugar_mill
rice,rice_mill
wheat,flour_mill
mustard,oil_mill
groundnut,oil_mill
soyabean,oil_mill
sunflower,oil_mill
sesamum,oil_mill
pigeonpeas,dal_mill
chickpea,dal_mill
lentil,dal_mill
blackgram,dal_mill
mungbean,dal_mill
mothbeans,dal_mill
cotton,cotton_ginning
coffee,coffee_curing
coconut,coir_mill
turmeric,spice_processing
jute,jute_mill
grapes,winery
