crop,year,msp_per_quintal,basis,premium_pct
wheat,2024,2425,MSP,
rice,2024,2300,MSP,
mustard,2024,5650,MSP,
groundnut,2024,6783,MSP,
soyabean,2024,4892,MSP,
sunflower,2024,7280,MSP,
pigeonpeas,2024,7550,MSP,
gram,2024,5440,MSP,
lentil,2024,6700,MSP,
cotton,2024,7121,MSP,
sugarcane,2024,340,FRP,
maize,2024,2225,MSP,
barley,2024,1850,MSP,
