facility_type,name,state,district,lat,lon
sugar_mill,Gopalganj (Sasamusa) Sugar Mill,Bihar,Gopalganj,26.47,84.43
sugar_mill,Sugauli Sugar Mill,Bihar,East Champaran,26.77,84.75
sugar_mill,Ramnagar (Narkatiaganj) Sugar Mill,Bihar,West Champaran,27.16,84.18
sugar_mill,Hasanpur Sugar Mill,Bihar,Samastipur,25.71,86.02
sugar_mill,Khatauli Sugar Mill,Uttar Pradesh,Muzaffarnagar,29.28,77.73
sugar_mill,Kolhapur Sugar Mill,Maharashtra,Kolhapur,16.70,74.24
